0 0
0 10000
1 5622
2 3161
3 1777
4 999
5 561
6 315
7 177
8 99
9 56
10 31
11 17
11 -10000
12 -5622
13 -3161
14 -1777
15 -999
16 -561
17 -315
18 -177
19 -99
20 -56
21 -31
22 -17
